titre,ville,code_postal,prix,surface,type_bien,pieces,url,prix_m2,latitude,longitude
Appartement 57m² à villeurbanne,Villeurbanne,69100,172000,57,Appartements,2,https://www.etreproprio.com/immobilier-23973876-vente-appartement-57m-a-villeurbanne-villeurbanne,3018,45.7733573,4.8868454
Appartement 40m² à villeurbanne,Villeurbanne,69100,170000,40,Appartements,2,https://www.etreproprio.com/immobilier-23975426-vente-appartement-40m-a-villeurbanne-villeurbanne,4250,45.7733573,4.8868454
Appartement 55m² à villeurbanne,Villeurbanne,69100,199000,55,Appartements,2,https://www.etreproprio.com/immobilier-23973308-vente-appartement-55m-a-villeurbanne-villeurbanne,3618,45.7733573,4.8868454
Dernier etage/toit terrasse : appartement de 140m² sur villeurbanne  coeur gratte ciel,Villeurbanne,69100,599900,140,Appartements,5,https://www.etreproprio.com/immobilier-23966221-vente-dernier-etagetoit-terrasse-appartement-de-140m-sur-villeurbanne-coeur-gratte-ciel-villeurbanne,4285,45.7733573,4.8868454
"Appartement t3 60 m² avec 3 balcons + box fermé, vue parc, métro flachet",Villeurbanne,69100,235000,60,Appartements,3,https://www.etreproprio.com/immobilier-23968799-vente-appartement-t3-60-m-avec-3-balcons-box-ferme-vue-parc-metro-flachet-villeurbanne,3917,45.7733573,4.8868454
Appartement 106m² à villeurbanne,Villeurbanne,69100,320000,106,Appartements,5,https://www.etreproprio.com/immobilier-23964489-vente-appartement-106m-a-villeurbanne-villeurbanne,3019,45.7733573,4.8868454
Appartement 47m² à villeurbanne,Villeurbanne,69100,180000,47,Appartements,2,https://www.etreproprio.com/immobilier-23621909-vente-appartement-47m-a-villeurbanne-villeurbanne,3830,45.7733573,4.8868454
"Studio en rdc sur cour- 28,05m2 villeurbanne gratte ciel",Villeurbanne,69100,120000,28,Appartements,1,https://www.etreproprio.com/immobilier-23951526-vente-studio-en-rdc-sur-cour-2805m2-villeurbanne-gratte-ciel-villeurbanne,4286,45.7733573,4.8868454
Appartement 86m² à villeurbanne,Villeurbanne,69100,300000,86,Appartements,4,https://www.etreproprio.com/immobilier-23964481-vente-appartement-86m-a-villeurbanne-villeurbanne,3488,45.7733573,4.8868454
Appartement 53m² à villeurbanne,Villeurbanne,69100,210000,53,Appartements,3,https://www.etreproprio.com/immobilier-23341389-vente-appartement-53m-a-villeurbanne-villeurbanne,3962,45.7733573,4.8868454
Appartement 90m² à villeurbanne,Villeurbanne,69100,266000,90,Appartements,4,https://www.etreproprio.com/immobilier-23964485-vente-appartement-90m-a-villeurbanne-villeurbanne,2956,45.7733573,4.8868454
Appartement 65m² à villeurbanne,Villeurbanne,69100,262000,65,Appartements,3,https://www.etreproprio.com/immobilier-23570637-vente-appartement-65m-a-villeurbanne-villeurbanne,4031,45.7733573,4.8868454
